ID_ARBRE,quartier,site,genre_arbre,situation,type_sol,surf_permeable,classe_age,hauteur,classe_hauteur,diametre,circonference (en cm),classe_circonference,port_arbre,vigueur_pousse,champignon_collet,insecte_collet,plaie_collet,observation_collet,champignon_tronc,insecte_tronc,fissure_tronc,rejet_tronc,tuteurage_arbre,canisse_arbre,plaie_tronc,observation_tronc,champignon_houppier,insecte_houppier,fissure_houppier,ecorce_incluse_houppier,bois_mort_houppier,plaie_houppier,observation_houppier,esperance_maintien,contrainte,Long,Lat,Usage
559,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,44.563384065730695,70,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLNC,Branches cassées ,2.0,Non,2.084,48.904,Private
560,Quartier 4 - Rotondes - St Léger,Avenue Saint-Fiacre,Carpinus,Alignement,Gr,1.0,JA,800,H2,38.19718634205488,60,C2,L,P,Non,Non,RCPPL, Racine apparente,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.072,48.895,Private
561,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,63.66197723675813,100,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,2.083,48.904,Private
562,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Fraxinus,Alignement,Gr,1.0,J,500,H1,22.281692032865347,35,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Oui,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.066,48.895,Private
563,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Prunus,Alignement,S,1.0,A,500,H1,70.02817496043394,110,C3,A,P,Non,Non,RCPPL,0,Oui,Non,TPF,Non,Non,Non,TPLNC,Phellin du fruitier,Oui,Non,HPF ,Non,HPBM ,HPLNC,Phellin du fruitier,2.0,Non,2.072,48.898,Private
564,Quartier 2 - Alsace - Pereire,Rue Turgot,Corylus,Alignement,S,1.5,JA,700,H2,31.830988618379067,50,C1,SL,P,Non,Non,RCPLNC,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.069,48.902,Private
565,Quartier 2 - Alsace - Pereire,RN13,Tilia,Alignement,GR,4.0,A,500,H1,35.01408748021697,55,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.069,48.899,Private
566,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Fraxinus,Alignement,Gr,1.0,J,600,H2,15.915494309189532,25,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Oui,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.069,48.898,Private
567,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,35.01408748021697,55,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.065,48.9,Private
568,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,50.92958178940651,80,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,2.085,48.903,Private
569,Quartier 7 - Debussy - Schnapper,Bois Schnapper,Acer,Bosquet,CS,100.0,A,1200,H3,38.19718634205488,60,C2,L,MP,Non,Non,RCPLS,Autres,Non,Non,TPF,Non,Non,Non,TPPL,Lierre,Non,Non,HPF ,Non,HBMI ,HPPL,0,3.0,Oui,2.089,48.888,Private
570,Quartier 2 - Alsace - Pereire,Rue Président Roosevelt,Ostrya,Alignement,Gr,1.0,J,500,H1,28.64788975654116,45,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,2.078,48.9,Private
571,Quartier 6 - Hôpital,Rue du Docteur Jean Paul Lamare,Ostrya,Alignement,Gr,1.0,J,500,H1,19.09859317102744,30,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,2.079,48.899,Private
572,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,50.92958178940651,80,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.099,48.896,Private
573,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,31.830988618379067,50,C1,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.064,48.901,Private
574,Quartier 2 - Alsace - Pereire,Rue Pereire,Corylus,Alignement,MA,20.0,JA,700,H2,31.830988618379067,50,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,2.064,48.901,Private
575,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,66.84507609859604,105,C3,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,Échaudure,2.0,Non,2.086,48.902,Private
576,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,50.92958178940651,80,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.098,48.895,Private
577,Quartier 2 - Alsace - Pereire,Rue Président Roosevelt,Ostrya,Alignement,Gr,1.0,J,400,H1,15.915494309189532,25,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Oui,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,2.077,48.9,Private
578,Quartier 1 - Cœur de Ville et Quatier forestier,Place des Combattants,Magnolia,Alignement,P,4.0,A,500,H1,28.64788975654116,45,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLNC,Cavité ouverte ,Non,Non,HPF ,Non,HPBM ,HPLNC,Axe 3 Mort 2M Nord,3.0,Non,2.098,48.896,Private
579,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,63.66197723675813,100,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,Déchirure ,1.0,Non,2.099,48.896,Private
580,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Prunus,Alignement,S,1.0,A,500,H1,70.02817496043394,110,C3,A,P,Oui,Non,RCPPL,Champignon collet ,Oui,Non,TPF,Non,Non,Non,TPLNC,Phellin du fruitier,Oui,Non,HPF ,Non,HBMI ,HPLNC,Phellin du fruitier,2.0,Non,2.072,48.898,Private
581,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,Zelkova,Isolé,Gr,0.0,J,400,H1,22.281692032865347,35,C1,L,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,3.0,Non,2.073,48.903,Private
582,Quartier 2 - Alsace - Pereire,Rue Pereire,Corylus,Alignement,S,1.5,JA,700,H2,38.19718634205488,60,C2,SL,P,Non,Non,RCPLNC,0,Non,Non,TPF,Non,Non,Non,TPLNC,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,2.065,48.901,Private
583,Quartier 4 - Rotondes - St Léger,RN13,Tilia,Alignement,CS,3.0,J,600,H2,25.464790894703256,40,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.074,48.899,Private
584,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Fraxinus,Alignement,Gr,1.0,JA,700,H2,35.01408748021697,55,C2,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLNC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.075,48.897,Private
585,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,35.01408748021697,55,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.069,48.899,Private
586,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Fraxinus,Alignement,Gr,1.0,JA,700,H2,35.01408748021697,55,C2,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLNC,0,Non,Non,HPF ,Non,HPBM ,HPLS,Déchirure ,1.0,Non,2.074,48.897,Private
587,Quartier 2 - Alsace - Pereire,Nouveau cimetière,Fraxinus,Alignement,G,100.0,JA,1200,H3,41.38028520389279,65,C2,L,P,Non,Non,RCPLS,Choc collet,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.065,48.902,Private
588,Quartier 2 - Alsace - Pereire,Carrefour RN13,Prunus,Isolé,G,100.0,A,1000,H2,47.7464829275686,75,C2,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,Axe 3 Mort 2M Nord,1.0,Non,2.073,48.9,Private
589,Quartier 7 - Debussy - Schnapper,Bois Schnapper,Acer,Bosquet,CS,100.0,A,1000,H2,44.563384065730695,70,C2,L,MP,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLNC,Cavité ouverte ,Non,Non,HPF ,Non,HPBM ,HPPL,Axe 3 Mort 2M Nord,4.0,Oui,2.089,48.888,Private
590,Quartier 2 - Alsace - Pereire,Rue Bastiat,Acer,Alignement,S,1.0,J,500,H1,19.09859317102744,30,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.072,48.902,Private
591,Quartier 4 - Rotondes - St Léger,Avenue Saint-Fiacre,Carpinus,Alignement,Gr,1.0,JA,800,H2,54.11268065124442,85,C2,L,P,Non,Non,RCPPL, Racine apparente,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.072,48.895,Private
592,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,41.38028520389279,65,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.099,48.895,Private
593,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,47.7464829275686,75,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,2.083,48.904,Private
594,Quartier 2 - Alsace - Pereire,Carrefour RN13,Carpinus,Bosquet,G,100.0,A,1600,H4,63.66197723675813,100,C2,L,P,Non,Non,RCPPL,Cépée,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HBMI ,HPLS,0,1.0,Non,2.073,48.9,Private
595,Quartier 6 - Hôpital,Rue Léon Désoyer,Ostrya,Alignement,Gr,1.0,J,500,H1,28.64788975654116,45,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,2.081,48.9,Private
596,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,Tilia,Alignement,Gr,0.0,J,400,H1,28.64788975654116,45,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,3.0,Non,2.074,48.903,Private
597,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,54.11268065124442,85,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.098,48.897,Private
599,Quartier 4 - Rotondes - St Léger,Rue de l'Aurore,Acer,Alignement,S,1.0,JA,600,H2,31.830988618379067,50,C1,SL,MP,Non,Non,RCPLNC,Autres,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.071,48.894,Private
600,Quartier 2 - Alsace - Pereire,Rue Pereire,Corylus,Alignement,S,1.5,JA,700,H2,31.830988618379067,50,C1,SL,P,Non,Non,RCPLC,Racine apparente,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,2.065,48.901,Private
601,Quartier 2 - Alsace - Pereire,Rue Président Roosevelt,Ostrya,Alignement,Gr,1.0,J,500,H1,31.830988618379067,50,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,2.074,48.899,Private
602,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,35.01408748021697,55,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.069,48.899,Private
603,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,60.47887837492023,95,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.099,48.896,Private
604,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,60.47887837492023,95,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.098,48.897,Private
605,Quartier 2 - Alsace - Pereire,Rue Pereire,Corylus,Alignement,S,1.5,JA,700,H2,25.464790894703256,40,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,2.065,48.901,Private
606,Quartier 2 - Alsace - Pereire,RN13,Tilia,Alignement,GR,4.0,A,500,H1,38.19718634205488,60,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.07,48.899,Private
607,Quartier 2 - Alsace - Pereire,Rue Turgot,Corylus,Alignement,S,1.5,J,500,H1,15.915494309189532,25,C1,SL,P,Non,Non,RCPLNC,Racine de surface / Choc collet,Non,Non,TPF,Non,T2:Bipode,Oui,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,2.067,48.901,Private
608,Quartier 1 - Cœur de Ville et Quatier forestier,Rue de Gramont,Tilia,Alignement,Gr,1.0,A,500,H1,41.38028520389279,65,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.097,48.896,Private
609,Quartier 1 - Cœur de Ville et Quatier forestier,Rue de Gramont,Tilia,Alignement,Gr,1.0,A,500,H1,44.563384065730695,70,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,Échaudure ,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.096,48.896,Private
610,Quartier 3 - Lycée International,RN13,Tilia,Alignement,GR,4.0,A,500,H1,41.38028520389279,65,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.066,48.9,Private
611,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Fraxinus,Alignement,Gr,1.0,J,600,H2,19.09859317102744,30,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Oui,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.069,48.898,Private
612,Quartier 3 - Lycée International,RN13,Tilia,Alignement,GR,4.0,A,500,H1,38.19718634205488,60,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.065,48.9,Private
613,Quartier 1 - Cœur de Ville et Quatier forestier,Rue de Gramont,Tilia,Alignement,Gr,1.0,A,500,H1,35.01408748021697,55,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.097,48.896,Private
615,Quartier 6 - Hôpital,Rue Léon Désoyer,Ostrya,Alignement,Gr,1.0,J,500,H1,28.64788975654116,45,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,2.082,48.9,Private
616,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,35.01408748021697,55,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.067,48.9,Private
617,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,57.29577951308232,90,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLNC,Axe 3 Mort 2M Nord,1.0,Non,2.099,48.895,Private
618,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,Tilia,Alignement,Gr,0.0,J,400,H1,28.64788975654116,45,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,3.0,Non,2.074,48.903,Private
619,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,38.19718634205488,60,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.098,48.896,Private
620,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,82.76057040778558,130,C3,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,2.085,48.903,Private
621,Quartier 2 - Alsace - Pereire,RN13,Tilia,Alignement,GR,4.0,A,500,H1,38.19718634205488,60,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLNC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.069,48.9,Private
622,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Fraxinus,Alignement,Gr,1.0,J,600,H2,15.915494309189532,25,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Oui,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.071,48.898,Private
623,Quartier 4 - Rotondes - St Léger,RN13,Tilia,Alignement,CS,3.0,J,600,H2,25.464790894703256,40,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.073,48.899,Private
624,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Fraxinus,Alignement,Gr,1.0,J,500,H1,22.281692032865347,35,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPPL,Échaudure ,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.067,48.896,Private
625,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,47.7464829275686,75,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,2.086,48.902,Private
626,Quartier 2 - Alsace - Pereire,Rue Président Roosevelt,Ostrya,Alignement,Gr,1.0,J,500,H1,22.281692032865347,35,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,2.075,48.9,Private
627,Quartier 2 - Alsace - Pereire,RN13,Tilia,Alignement,GR,4.0,A,500,H1,41.38028520389279,65,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLNC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.064,48.901,Private
628,Quartier 4 - Rotondes - St Léger,Rue de l'Aurore,Acer,Alignement,S,1.0,JA,600,H2,50.92958178940651,80,C2,SL,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,2.071,48.894,Private
